,0
0,23
1,26
2,28
3,11
4,4
5,23
6,4
7,11
8,28
9,0
10,23
11,16
12,4
13,7
14,28
15,4
16,14
17,14
18,14
19,18
20,16
21,14
22,0
23,28
24,4
25,11
26,11
27,16
28,23
29,16
30,5
31,4
32,14
33,14
34,7
35,25
36,16
37,14
38,25
39,26
40,26
41,26
42,14
43,7
44,16
45,26
46,26
47,26
48,26
49,26
50,4
51,11
52,8
53,14
54,14
55,11
56,14
57,18
58,26
59,16
60,4
61,16
62,7
63,14
64,14
65,4
66,5
67,14
68,0
69,5
70,14
71,11
72,4
73,4
74,8
75,5
76,11
77,26
78,26
79,4
80,5
81,16
82,11
83,11
84,11
85,23
86,14
87,23
88,11
89,4
90,23
91,25
92,4
93,11
94,14
95,25
96,21
97,4
98,16
99,25
100,14
101,14
102,11
103,9
104,25
105,11
106,26
107,14
108,11
109,11
110,6
111,26
112,5
113,16
114,23
115,14
116,14
117,25
118,25
119,11
120,9
121,23
122,11
123,9
124,9
125,9
126,11
127,14
128,14
129,9
130,11
131,26
132,18
133,14
134,4
135,5
136,11
137,16
138,25
139,4
140,14
141,4
142,25
143,16
144,4
145,11
146,24
147,25
148,14
149,16
150,11
151,9
152,4
153,11
154,25
155,25
156,11
157,25
158,25
159,25
160,0
161,25
162,5
163,5
164,4
165,4
166,4
167,14
168,14
169,7
170,25
171,25
172,0
173,14
174,11
175,9
176,9
177,9
178,9
179,16
180,14
181,25
182,9
183,9
184,14
185,23
186,11
187,9
188,17
189,17
190,18
191,6
192,3
193,23
194,23
195,26
196,26
197,4
198,14
199,14
200,8
201,25
202,16
203,4
204,5
205,16
206,25
207,25
208,16
209,16
210,11
211,16
212,16
213,11
214,9
215,9
216,9
217,9
218,9
219,9
220,9
221,9
222,11
223,18
224,4
225,25
226,25
227,25
228,25
229,25
230,25
231,25
232,11
233,14
234,23
235,23
236,15
237,24
238,23
239,23
240,24
241,24
242,21
243,25
244,25
245,25
246,25
247,25
248,25
249,25
250,25
251,25
252,4
253,7
254,26
255,18
256,26
257,14
258,4
259,14
260,27
261,18
262,16
263,18
264,14
265,4
266,23
267,25
268,16
269,4
270,11
271,16
272,16
273,25
274,25
275,23
276,4
277,8
278,25
279,11
280,11
281,16
282,25
283,16
284,16
285,2
286,15
287,21
288,21
289,24
290,15
291,22
292,22
293,21
294,21
295,6
296,11
297,4
298,0
299,20
300,3
301,3
302,16
303,28
304,4
305,15
306,22
307,21
308,19
309,10
310,10
311,10
312,10
313,19
314,15
315,21
316,26
317,16
318,24
319,24
320,24
321,26
322,11
323,11
324,11
325,26
326,4
327,24
328,24
329,24
330,24
331,24
332,24
333,24
334,24
335,24
336,24
337,15
338,15
339,21
340,21
341,15
342,15
343,21
344,21
345,4
346,16
347,14
348,0
349,16
350,16
351,26
352,11
353,4
354,18
355,16
356,4
357,4
358,25
359,16
360,23
361,25
362,16
363,25
364,25
365,25
366,25
367,11
368,14
369,26
370,4
371,25
372,5
373,25
374,4
375,4
376,28
377,4
378,18
379,16
380,25
381,23
382,4
383,16
384,4
385,5
386,16
387,16
388,25
389,16
390,4
391,9
392,25
393,16
394,11
395,25
396,25
397,16
398,11
399,25
400,16
401,7
402,6
403,25
404,25
405,25
406,25
407,25
408,7
409,24
410,11
411,23
412,25
413,25
414,25
415,20
416,16
417,16
418,14
419,22
420,4
421,16
422,25
423,25
424,25
425,26
426,23
427,25
428,19
429,4
430,0
431,11
432,14
433,25
434,4
435,11
436,4
437,11
438,4
439,16
440,24
441,16
442,16
443,16
444,25
445,5
446,21
447,25
448,26
449,16
450,16
451,23
452,23
453,17
454,11
455,20
456,4
457,3
458,16
459,25
460,16
461,16
462,16
463,25
464,11
465,25
466,11
467,4
468,7
469,25
470,4
471,8
472,0
473,24
474,14
475,14
476,14
477,11
478,4
479,24
480,16
481,10
482,14
483,4
484,11
485,0
486,20
487,25
488,14
489,6
490,16
491,14
492,25
493,15
494,24
495,6
496,23
497,23
498,14
499,25
500,16
501,20
502,4
503,11
504,0
505,25
506,25
507,25
508,3
509,18
510,11
511,16
512,25
513,14
514,25
515,6
516,4
517,11
518,0
519,11
520,11
521,11
522,7
523,24
524,24
525,16
526,16
527,24
528,25
529,14
530,5
531,14
532,0
533,0
534,5
535,25
536,24
537,11
538,24
539,11
540,16
541,16
542,20
543,24
544,11
545,11
546,23
547,11
548,4
549,4
550,11
551,11
552,11
553,23
554,3
555,0
556,16
557,11
558,11
559,11
560,25
561,7
562,4
563,11
564,11
565,11
566,11
567,18
568,18
569,11
570,14
571,11
572,24
573,14
574,11
575,9
576,16
577,11
578,23
579,26
580,14
581,14
582,21
583,15
584,14
585,15
586,6
587,11
588,24
589,26
590,11
591,11
592,11
593,11
594,16
595,14
596,19
597,24
598,11
599,11
600,11
601,4
602,5
603,5
604,26
605,16
606,11
607,23
608,4
609,16
610,18
611,0
612,23
613,14
614,18
615,4
616,14
617,14
618,23
619,14
620,24
621,24
622,26
623,26
624,26
625,26
626,4
627,4
628,26
629,26
630,26
631,26
632,26
633,24
634,26
635,26
636,26
637,4
638,5
639,11
640,5
641,14
642,18
643,23
644,23
645,18
646,16
647,5
648,0
649,0
650,7
651,14
652,14
653,18
654,9
655,4
656,25
657,14
658,24
659,16
660,4
661,25
662,25
663,25
664,4
665,4
666,25
667,16
668,25
669,25
670,11
671,11
672,7
673,11
674,11
675,11
676,11
677,11
678,11
679,16
680,26
681,14
682,16
683,25
684,25
685,14
686,18
687,11
