2023-04-13 14:21:39,556 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Configure stats pid to 74562
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Loading settings from /Users/emmachen/.config/wandb/settings
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Loading settings from /Users/emmachen/Documents/aqlab/uniprot-nn/wandb/settings
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_training.py', 'program': '/Users/emmachen/Documents/aqlab/uniprot-nn/run_training.py'}
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_init.py:_log_setup():507] Logging user logs to ./wandb/run-20230413_142139-fmugo2fa/logs/debug.log
2023-04-13 14:21:39,557 INFO    MainThread:74562 [wandb_init.py:_log_setup():508] Logging internal logs to ./wandb/run-20230413_142139-fmugo2fa/logs/debug-internal.log
2023-04-13 14:21:39,558 INFO    MainThread:74562 [wandb_init.py:init():547] calling init triggers
2023-04-13 14:21:39,558 INFO    MainThread:74562 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'model_fn': 'NeuralNet', 'l1_kwargs': {'in_features': 25, 'out_features': 90}, 'l2_kwargs': {'in_features': 90, 'out_features': 29}, 'loss': {'loss_fn': 'nn.CrossEntropyLoss'}, 'optim': {'optim_fn': 'torch.optim.Adam', 'optim_kwargs': {'lr': 0.0001, 'betas': [0.9, 0.999], 'weight_decay': 1e-05}, 'scheduler_fn': '', 'scheduler_kwargs': {}}, 'training': {'max_epochs': 15, 'devices': '4', 'strategy': 'ddp_find_unused_parameters_false', 'precision': 16}, 'data': {'batch_size': 20}, 'dryrun': False, 'runname': 'base', 'wandb_project': 'uniprot-nn'}
2023-04-13 14:21:39,558 INFO    MainThread:74562 [wandb_init.py:init():595] starting backend
2023-04-13 14:21:39,558 INFO    MainThread:74562 [wandb_init.py:init():599] setting up manager
2023-04-13 14:21:39,565 INFO    MainThread:74562 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-13 14:21:39,572 INFO    MainThread:74562 [wandb_init.py:init():605] backend started and connected
2023-04-13 14:21:39,580 INFO    MainThread:74562 [wandb_init.py:init():695] updated telemetry
2023-04-13 14:21:39,600 INFO    MainThread:74562 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-13 14:21:39,923 INFO    MainThread:74562 [wandb_run.py:_on_init():2176] communicating current version
2023-04-13 14:21:40,002 INFO    MainThread:74562 [wandb_run.py:_on_init():2185] got version response 
2023-04-13 14:21:40,002 INFO    MainThread:74562 [wandb_init.py:init():782] starting run threads in backend
2023-04-13 14:21:41,040 INFO    MainThread:74562 [wandb_run.py:_console_start():2157] atexit reg
2023-04-13 14:21:41,041 INFO    MainThread:74562 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-13 14:21:41,041 INFO    MainThread:74562 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-13 14:21:41,041 INFO    MainThread:74562 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-13 14:21:41,041 INFO    MainThread:74562 [wandb_init.py:init():824] run started, returning control to user process
2023-04-13 14:21:41,042 INFO    MainThread:74562 [wandb_watch.py:watch():51] Watching
